tokenId,name,Quality,Type,Level,CfgId,Feature,Style,Billboard,Visual,Area,GreenhouseAmount,DefenderAttributesBonus,PlantTime,SeedConsumption,WeedProduction,MaxStorage,ClaimableStorage,MaxHP,CurrentHP,FarmState
1,MOBLAND Weed Farm #1,Common,1,1,1,1,1,0,1,4,4,300,42180,242,350,10025,5012,621,621,1
2,MOBLAND Weed Farm #2,Common,1,1,2,1,1,0,1,4,4,300,44400,245,347,9490,4745,617,617,1
3,MOBLAND Weed Farm #3,Uncommon,1,1,3,1,1,0,11,6,6,550,42300,252,385,14840,7420,687,687,1
4,MOBLAND Weed Farm #4,Legendary,1,1,4,1,1,0,41,16,16,1580,42540,257,585,35982,17991,1102,1102,1
5,MOBLAND Weed Farm #5,Common,1,1,5,1,1,0,1,4,4,310,44400,250,345,9492,4746,624,624,1
6,MOBLAND Weed Farm #6,Epic,1,1,6,1,1,0,31,12,12,1120,41040,237,495,36850,18425,917,917,1
7,MOBLAND Weed Farm #7,Common,1,1,7,1,1,0,1,4,4,270,43140,242,352,9550,4775,594,594,1
8,MOBLAND Weed Farm #8,Uncommon,1,1,8,1,1,0,11,6,6,560,41640,260,382,14505,7252,651,651,1
9,MOBLAND Weed Farm #9,Rare,1,1,9,1,1,0,21,9,9,860,41820,242,420,24115,12057,734,734,1
10,MOBLAND Weed Farm #10,Uncommon,1,1,10,1,1,0,11,6,6,550,41160,237,402,13652,6826,663,663,1
11,MOBLAND Weed Farm #11,Epic,1,1,11,1,1,0,31,12,12,1140,45060,252,530,36152,18076,917,917,1
12,MOBLAND Weed Farm #12,Uncommon,1,1,12,1,1,0,11,6,6,570,41820,240,400,14787,7393,627,627,1
13,MOBLAND Weed Farm #13,Uncommon,1,1,13,1,1,0,11,6,6,570,41940,252,400,14847,7423,661,661,1
14,MOBLAND Weed Farm #14,Uncommon,1,1,14,1,1,0,11,6,6,580,45000,242,395,14285,7142,677,677,1
15,MOBLAND Weed Farm #15,Rare,1,1,15,1,1,0,21,9,9,840,44940,240,435,22722,11361,727,727,1
16,MOBLAND Weed Farm #16,Common,1,1,16,1,1,0,1,4,4,310,41640,237,365,9447,4723,582,582,1
17,MOBLAND Weed Farm #17,Uncommon,1,1,17,1,1,0,11,6,6,620,41340,245,402,14995,7497,629,629,1
18,MOBLAND Weed Farm #18,Rare,1,1,18,1,1,0,21,9,9,820,44700,237,450,23355,11677,750,750,1
19,MOBLAND Weed Farm #19,Uncommon,1,1,19,1,1,0,11,6,6,590,41940,252,405,14265,7132,651,651,1
20,MOBLAND Weed Farm #20,Uncommon,1,1,20,1,1,0,11,6,6,540,43140,260,382,14980,7490,646,646,1
21,MOBLAND Weed Farm #21,Uncommon,1,1,21,1,1,0,11,6,6,550,42900,257,392,14112,7056,677,677,1
22,MOBLAND Weed Farm #22,Uncommon,1,1,22,1,1,0,11,6,6,610,42360,237,415,13902,6951,679,679,1
23,MOBLAND Weed Farm #23,Rare,1,1,23,1,1,0,21,9,9,970,41460,260,427,23557,11778,765,765,1
24,MOBLAND Weed Farm #24,Uncommon,1,1,24,1,1,0,11,6,6,610,43680,255,410,13650,6825,639,639,1
25,MOBLAND Weed Farm #25,Common,1,1,25,1,1,0,1,4,4,290,43500,242,365,9767,4883,579,579,1
26,MOBLAND Weed Farm #26,Epic,1,1,26,1,1,0,31,12,12,1140,44460,255,500,39170,19585,868,868,1
27,MOBLAND Weed Farm #27,Common,1,1,27,1,1,0,1,4,4,310,41160,247,350,9827,4913,613,613,1
28,MOBLAND Weed Farm #28,Common,1,1,28,1,1,0,1,4,4,310,45300,245,375,9185,4592,612,612,1
29,MOBLAND Weed Farm #29,Common,1,1,29,1,1,0,1,4,4,300,43620,257,372,10022,5011,601,601,1
30,MOBLAND Weed Farm #30,Common,1,1,30,1,1,0,1,4,4,300,42000,240,355,9465,4732,622,622,1
31,MOBLAND Weed Farm #31,Uncommon,1,1,31,1,1,0,11,6,6,620,43620,242,405,13850,6925,670,670,1
32,MOBLAND Weed Farm #32,Common,1,1,32,1,1,0,1,4,4,290,45240,257,360,9810,4905,578,578,1
33,MOBLAND Weed Farm #33,Epic,1,1,33,1,1,0,31,12,12,1120,42240,252,502,35917,17958,872,872,1
34,MOBLAND Weed Farm #34,Common,1,1,34,1,1,0,1,4,4,290,45120,247,355,9180,4590,616,616,1
35,MOBLAND Weed Farm #35,Rare,1,1,35,1,1,0,21,9,9,940,44940,240,435,24255,12127,779,779,1
36,MOBLAND Weed Farm #36,Uncommon,1,1,36,1,1,0,11,6,6,540,41940,252,390,13702,6851,645,645,1
37,MOBLAND Weed Farm #37,Common,1,1,37,1,1,0,1,4,4,270,41700,237,357,10000,5000,594,594,1
38,MOBLAND Weed Farm #38,Common,1,1,38,1,1,0,1,4,4,270,44160,247,357,9755,4877,611,611,1
39,MOBLAND Weed Farm #39,Common,1,1,39,1,1,0,1,4,4,310,42840,237,360,9565,4782,612,612,1
40,MOBLAND Weed Farm #40,Common,1,1,40,1,1,0,1,4,4,270,42300,242,342,9987,4993,612,612,1
41,MOBLAND Weed Farm #41,Common,1,1,41,1,1,0,1,4,4,300,44760,237,370,9782,4891,624,624,1
42,MOBLAND Weed Farm #42,Common,1,1,42,1,1,0,1,4,4,270,41040,247,362,9657,4828,598,598,1
43,MOBLAND Weed Farm #43,Common,1,1,43,1,1,0,1,4,4,280,41280,245,352,9565,4782,605,605,1
44,MOBLAND Weed Farm #44,Legendary,1,1,44,1,1,0,41,16,16,1550,42180,255,635,57345,28672,1039,1039,1
45,MOBLAND Weed Farm #45,Uncommon,1,1,45,1,1,0,11,6,6,590,41940,252,380,13790,6895,685,685,1
46,MOBLAND Weed Farm #46,Legendary,1,1,46,1,1,0,41,16,16,1350,42180,255,597,57592,28796,1121,1121,1
47,MOBLAND Weed Farm #47,Common,1,1,47,1,1,0,1,4,4,300,43980,237,345,9255,4627,592,592,1
48,MOBLAND Weed Farm #48,Common,1,1,48,1,1,0,1,4,4,320,42840,247,350,9715,4857,599,599,1
49,MOBLAND Weed Farm #49,Epic,1,1,49,1,1,0,31,12,12,1090,42180,250,532,38295,19147,939,939,1
50,MOBLAND Weed Farm #50,Common,1,1,50,1,1,0,1,4,4,270,44940,260,345,9942,4971,577,577,1
51,MOBLAND Weed Farm #51,Common,1,1,51,1,1,0,1,4,4,320,42000,250,360,9875,4937,571,571,1
52,MOBLAND Weed Farm #52,Uncommon,1,1,52,1,1,0,11,6,6,560,44340,240,402,14670,7335,664,664,1
53,MOBLAND Weed Farm #53,Epic,1,1,53,1,1,0,31,12,12,1240,43140,240,515,38410,19205,884,884,1
54,MOBLAND Weed Farm #54,Uncommon,1,1,54,1,1,0,11,6,6,610,41940,252,390,14060,7030,647,647,1
55,MOBLAND Weed Farm #55,Uncommon,1,1,55,1,1,0,11,6,6,570,44040,257,400,13855,6927,658,658,1
56,MOBLAND Weed Farm #56,Common,1,1,56,1,1,0,1,4,4,320,42780,260,380,9255,4627,624,624,1
57,MOBLAND Weed Farm #57,Uncommon,1,1,57,1,1,0,11,6,6,550,42420,250,410,13712,6856,690,690,1
58,MOBLAND Weed Farm #58,Uncommon,1,1,58,1,1,0,11,6,6,560,42480,242,387,14990,7495,627,627,1
59,MOBLAND Weed Farm #59,Common,1,1,59,1,1,0,1,4,4,310,42000,260,362,9805,4902,612,612,1
60,MOBLAND Weed Farm #60,Uncommon,1,1,60,1,1,0,11,6,6,600,44400,257,402,14095,7047,631,631,1
61,MOBLAND Weed Farm #61,Uncommon,1,1,61,1,1,0,11,6,6,620,44100,242,405,14872,7436,634,634,1
62,MOBLAND Weed Farm #62,Uncommon,1,1,62,1,1,0,11,6,6,610,42360,240,412,14605,7302,684,684,1
63,MOBLAND Weed Farm #63,Uncommon,1,1,63,1,1,0,11,6,6,560,42120,260,392,14817,7408,638,638,1
64,MOBLAND Weed Farm #64,Common,1,1,64,1,1,0,1,4,4,280,41460,250,375,9997,4998,614,614,1
65,MOBLAND Weed Farm #65,Common,1,1,65,1,1,0,1,4,4,270,43800,252,352,9220,4610,623,623,1
66,MOBLAND Weed Farm #66,Common,1,1,66,1,1,0,1,4,4,320,43020,247,372,9837,4918,582,582,1
67,MOBLAND Weed Farm #67,Common,1,1,67,1,1,0,1,4,4,270,42900,255,365,9320,4660,603,603,1
68,MOBLAND Weed Farm #68,Common,1,1,68,1,1,0,1,4,4,320,41220,242,350,9725,4862,571,571,1
69,MOBLAND Weed Farm #69,Common,1,1,69,1,1,0,1,4,4,270,42780,245,357,9672,4836,580,580,1
70,MOBLAND Weed Farm #70,Common,1,1,70,1,1,0,1,4,4,320,42960,240,352,9757,4878,627,627,1
71,MOBLAND Weed Farm #71,Uncommon,1,1,71,1,1,0,11,6,6,550,44100,240,397,14967,7483,636,636,1
72,MOBLAND Weed Farm #72,Common,1,1,72,1,1,0,1,4,4,320,45240,260,370,9525,4762,585,585,1
73,MOBLAND Weed Farm #73,Rare,1,1,73,1,1,0,21,9,9,880,42960,252,450,23460,11730,780,780,1
74,MOBLAND Weed Farm #74,Common,1,1,74,1,1,0,1,4,4,270,41400,250,370,9562,4781,618,618,1
75,MOBLAND Weed Farm #75,Common,1,1,75,1,1,0,1,4,4,280,43140,252,375,9522,4761,626,626,1
76,MOBLAND Weed Farm #76,Common,1,1,76,1,1,0,1,4,4,290,43560,237,345,9287,4643,599,599,1
77,MOBLAND Weed Farm #77,Common,1,1,77,1,1,0,1,4,4,300,41700,257,350,9372,4686,627,627,1
78,MOBLAND Weed Farm #78,Uncommon,1,1,78,1,1,0,11,6,6,550,42840,255,395,13902,6951,687,687,1
79,MOBLAND Weed Farm #79,Uncommon,1,1,79,1,1,0,11,6,6,550,44460,240,415,14452,7226,687,687,1
80,MOBLAND Weed Farm #80,Uncommon,1,1,80,1,1,0,11,6,6,600,42780,237,415,14365,7182,660,660,1
81,MOBLAND Weed Farm #81,Common,1,1,81,1,1,0,1,4,4,310,42120,245,375,9660,4830,579,579,1
82,MOBLAND Weed Farm #82,Common,1,1,82,1,1,0,1,4,4,270,44160,260,352,10022,5011,626,626,1
83,MOBLAND Weed Farm #83,Legendary,1,1,83,1,1,0,41,16,16,1460,44100,260,595,36325,18162,1070,1070,1
84,MOBLAND Weed Farm #84,Epic,1,1,84,1,1,0,31,12,12,1230,41280,260,530,38507,19253,863,863,1
85,MOBLAND Weed Farm #85,Common,1,1,85,1,1,0,1,4,4,270,44940,257,345,9770,4885,602,602,1
86,MOBLAND Weed Farm #86,Uncommon,1,1,86,1,1,0,11,6,6,620,43620,260,405,13860,6930,666,666,1
87,MOBLAND Weed Farm #87,Common,1,1,87,1,1,0,1,4,4,300,43800,242,377,9805,4902,585,585,1
88,MOBLAND Weed Farm #88,Legendary,1,1,88,1,1,0,41,16,16,1640,44880,240,592,37077,18538,1035,1035,1
89,MOBLAND Weed Farm #89,Common,1,1,89,1,1,0,1,4,4,290,44640,247,360,9377,4688,606,606,1
90,MOBLAND Weed Farm #90,Common,1,1,90,1,1,0,1,4,4,310,44880,242,375,9642,4821,612,612,1
91,MOBLAND Weed Farm #91,Common,1,1,91,1,1,0,1,4,4,290,42780,247,352,9615,4807,588,588,1
92,MOBLAND Weed Farm #92,Uncommon,1,1,92,1,1,0,11,6,6,640,41820,237,385,14212,7106,641,641,1
93,MOBLAND Weed Farm #93,Legendary,1,1,93,1,1,0,41,16,16,1430,42720,257,600,38817,19408,1105,1105,1
94,MOBLAND Weed Farm #94,Common,1,1,94,1,1,0,1,4,4,320,44280,242,355,10062,5031,622,622,1
95,MOBLAND Weed Farm #95,Rare,1,1,95,1,1,0,21,9,9,980,44520,242,462,22845,11422,764,764,1
96,MOBLAND Weed Farm #96,Common,1,1,96,1,1,0,1,4,4,320,41880,242,347,10032,5016,618,618,1
97,MOBLAND Weed Farm #97,Common,1,1,97,1,1,0,1,4,4,300,43920,240,377,9915,4957,625,625,1
